"size","n_sample","sigma2","GeneNet","NS","glasso","glassosf","pcacmi","space","ena"
"large","100","0.2","0.5","0.65518","0.66834","0.66963","0.66679","0.64502","0.68819"
"large","100","0.5","0.5","0.6192","0.6321","0.63216","0.62952","0.61237","0.64688"
"large","100","1","0.5","0.58475","0.58747","0.59233","0.58653","0.5687","0.60036"
"large","200","0.2","0.54058","0.73312","0.74986","0.72871","0.69861","0.73813","0.76107"
"large","200","0.5","0.5","0.67523","0.69575","0.68652","0.64789","0.68232","0.70799"
"large","200","1","0.5","0.62098","0.63538","0.62898","0.58601","0.61898","0.64447"
"large","50","0.2","0.5","0.58134","0.59594","0.61665","0.61338","0.55138","0.62817"
"large","50","0.5","0.5","0.56115","0.56828","0.5868","0.5908","0.53311","0.59633"
"large","50","1","0.5","0.53634","0.5511","0.56185","0.56002","0.52103","0.56539"
"large","500","0.2","0.67677","0.82819","0.84088","0.80724","0.72216","0.83154","0.84484"
"large","500","0.5","0.63595","0.79655","0.81259","0.79291","0.65997","0.79668","0.81469"
"large","500","1","0.56813","0.7419","0.76199","0.74345","0.57569","0.74346","0.7641"
"middle","100","0.2","0.5235","0.702","0.712","0.69621","0.70299","0.6983","0.73029"
"middle","100","0.5","0.50172","0.66189","0.66801","0.65905","0.65384","0.65369","0.68298"
"middle","100","1","0.5","0.60816","0.63163","0.6263","0.59863","0.61308","0.63391"
"middle","200","0.2","0.57053","0.79755","0.80535","0.79779","0.75366","0.79454","0.81736"
"middle","200","0.5","0.56107","0.74162","0.75611","0.74199","0.68703","0.73582","0.76481"
"middle","200","1","0.5","0.6642","0.67153","0.66535","0.6194","0.66099","0.6779"
"middle","50","0.2","0.5","0.59064","0.60674","0.62107","0.6132","0.61472","0.62818"
"middle","50","0.5","0.5","0.54618","0.56416","0.56748","0.56634","0.55427","0.57818"
"middle","50","1","0.5","0.52658","0.53742","0.5439","0.5416","0.50934","0.54064"
"middle","500","0.2","0.77202","0.89332","0.89863","0.88573","0.77868","0.88957","0.90504"
"middle","500","0.5","0.73141","0.8685","0.87355","0.86438","0.70107","0.86252","0.87164"
"middle","500","1","0.62393","0.81171","0.80774","0.80408","0.59586","0.80749","0.81601"
"moderate","100","0.2","0.65858","0.79937","0.79931","0.79108","0.79008","0.78546","0.80899"
"moderate","100","0.5","0.71612","0.75143","0.74794","0.74784","0.74531","0.73426","0.76996"
"moderate","100","1","0.66805","0.68716","0.68314","0.6777","0.67736","0.67332","0.68409"
"moderate","200","0.2","0.72696","0.86088","0.86939","0.86371","0.81627","0.84698","0.88555"
"moderate","200","0.5","0.60606","0.80132","0.8064","0.80251","0.76877","0.78839","0.83924"
"moderate","200","1","0.61782","0.72771","0.74518","0.73518","0.67222","0.71638","0.76002"
"moderate","50","0.2","0.5","0.70186","0.70493","0.70474","0.72623","0.66511","0.70906"
"moderate","50","0.5","0.57609","0.65532","0.67005","0.66382","0.67659","0.67302","0.67498"
"moderate","50","1","0.52698","0.56405","0.60698","0.60721","0.59611","0.56851","0.61236"
"moderate","500","0.2","0.76699","0.94162","0.93655","0.93834","0.83371","0.92608","0.9489"
"moderate","500","0.5","0.87921","0.89943","0.89248","0.89497","0.79526","0.883","0.91197"
"moderate","500","1","0.81579","0.84221","0.84158","0.83888","0.70309","0.83026","0.85165"
"small","100","0.2","0.55614","0.75635","0.71866","0.71727","0.73231","0.72927","0.75261"
"small","100","0.5","0.66058","0.69439","0.65375","0.65781","0.6696","0.66523","0.67021"
"small","100","1","0.50962","0.59937","0.57426","0.58693","0.6321","0.57007","0.56671"
"small","200","0.2","0.69193","0.87024","0.845","0.83057","0.77325","0.84231","0.87033"
"small","200","0.5","0.58654","0.80171","0.76856","0.76898","0.72186","0.78148","0.81161"
"small","200","1","0.67972","0.72787","0.69693","0.7003","0.63229","0.70079","0.72332"
"small","50","0.2","0.5","0.6978","0.68219","0.67585","0.67539","0.66599","0.69191"
"small","50","0.5","0.5","0.67718","0.66019","0.65751","0.62395","0.64613","0.64697"
"small","50","1","0.5","0.60719","0.58481","0.58392","0.55443","0.58688","0.59346"
"small","500","0.2","0.76885","0.9577","0.93493","0.92627","0.82349","0.93128","0.95464"
"small","500","0.5","0.79556","0.92321","0.89759","0.88836","0.74904","0.89856","0.92072"
"small","500","1","0.85271","0.86561","0.84297","0.84141","0.67238","0.84718","0.86168"
"tiny","100","0.2","0.77283","0.91853","0.82016","0.82675","0.94044","0.88076","0.94539"
"tiny","100","0.5","0.66266","0.87879","0.81533","0.81686","0.87241","0.8274","0.87618"
"tiny","100","1","0.60358","0.81752","0.74693","0.74396","0.85993","0.76768","0.84016"
"tiny","200","0.2","0.63889","0.91678","0.86408","0.84058","0.96116","0.93325","0.96657"
"tiny","200","0.5","0.8411","0.86616","0.82378","0.81335","0.88136","0.86067","0.92326"
"tiny","200","1","0.80909","0.84069","0.80874","0.80523","0.85852","0.79348","0.88395"
"tiny","50","0.2","0.60711","0.73803","0.77492","0.78327","0.81144","0.77317","0.82368"
"tiny","50","0.5","0.60687","0.74835","0.67765","0.70707","0.78931","0.71102","0.74859"
"tiny","50","1","0.73611","0.75769","0.6917","0.68555","0.71445","0.70422","0.72199"
"tiny","500","0.2","0.88465","0.91304","0.87901","0.90075","0.97811","0.93928","0.9887"
"tiny","500","0.5","0.82698","0.88669","0.88054","0.87286","0.97528","0.92962","0.98046"
"tiny","500","1","0.68762","0.8621","0.87967","0.87505","0.94915","0.92216","0.96234"
