"Source","Target"
"10036","23468"
"10036","10951"
"10048","9149"
"10048","2332"
"10048","10048"
"10048","28996"
"10048","3897"
"10084","51729"
"10140","5594"
"10142","2902"
"10155","10168"
"10155","10951"
"10155","9869"
"10155","23468"
"1017","1033"
"1017","8900"
"10243","11337"
"1026","1647"
"10272","8038"
"10273","3312"
"10273","4086"
"1028","3984"
"10287","10755"
"1029","29950"
"1029","5702"
"1029","1029"
"1029","84687"
"10369","1742"
"10399","8900"
"10399","150372"
"10399","367"
"10399","3692"
"10399","5144"
"10399","6714"
"10399","57085"
"10399","3689"
"10399","10399"
"10399","22927"
"10399","8439"
"10399","140890"
"10403","4751"
"10427","10484"
"10458","64130"
"10458","1822"
"10458","55327"
"10499","10401"
"10499","904"
"10499","8500"
"10521","140890"
"10614","1025"
"10614","905"
"1062","6500"
"10628","27033"
"10628","7704"
"10670","10670"
"10670","55035"
"10670","64121"
"10749","11099"
"10755","10755"
"10772","140890"
"10817","5594"
"10902","7068"
"10912","90480"
"10946","140890"
"10951","10951"
"10971","7015"
"10971","4209"
"10971","1130"
"10971","572"
"10971","6452"
"10988","6275"
"11011","25842"
"11011","55723"
"11060","1822"
"1107","22927"
"11080","4988"
"11127","23645"
"11143","984"
"11186","1877"
"11190","4751"
"11198","140890"
"11215","2932"
"11252","59341"
"11276","26088"
"11315","9063"
"11335","11335"
"11336","55770"
"11338","8233"
"11338","1656"
"11338","9295"
"11338","7490"
"11338","8487"
"1173","10928"
"1191","7048"
"1213","3092"
"1213","1213"
"1213","10043"
"122953","5241"
"1329","367"
"134","2037"
"135","9266"
"1380","29109"
"1386","122953"
"1386","4088"
"1386","7329"
"1386","4089"
"1387","4609"
"1387","5079"
"1387","4780"
"1387","6929"
"1387","8092"
"1387","6996"
"1387","1387"
"1387","8850"
"1398","7514"
"140890","140890"
"142","140890"
"1435","8651"
"1436","1436"
"1436","8651"
"1436","867"
"1445","3643"
"1453","10142"
"1457","140890"
"1460","1460"
"1460","6125"
"1460","6171"
"1464","8777"
"1466","8554"
"147","1173"
"147011","8900"
"1477","580"
"1487","27086"
"1487","3090"
"1487","9734"
"1487","5932"
"1493","1173"
"149371","55770"
"1499","8313"
"1499","56998"
"1499","8851"
"1499","9743"
"1499","140825"
"1501","57554"
"1501","23037"
"1501","1501"
"1523","9266"
"153","9863"
"153","1742"
"153","10755"
"1601","57534"
"1616","367"
"1616","7341"
"1616","7329"
"1616","10445"
"1617","1617"
"161882","2623"
"163","7048"
"163","472"
"1630","4150"
"1630","842"
"1630","836"
"1630","136"
"1639","1639"
"1642","25"
"1647","5111"
"1647","90480"
"1654","140890"
"1655","10270"
"1655","4088"
"1660","26993"
"1660","5970"
"1660","3609"
"1660","8932"
"1674","81493"
"1674","5310"
"1739","6868"
"1739","23095"
"1739","54910"
"1739","1739"
"1739","93643"
"1739","55227"
"1739","9229"
"1740","54910"
"1740","9419"
"1741","9419"
"1741","8831"
"1741","2066"
"1741","1742"
"1741","9615"
"1742","1742"
"1742","57596"
"1742","8831"
"1742","26037"
"1742","116443"
"1742","54910"
"1742","3741"
"1742","116444"
"1742","27158"
"1742","23095"
"1742","9615"
"1742","160622"
"1742","55227"
"1742","9229"
"1742","22866"
"1756","54212"
"1756","1837"
"1756","54221"
"1785","22941"
"1785","50944"
"1786","3066"
"1786","55929"
"1788","7329"
"1788","10472"
"1788","8554"
"1789","7329"
"1793","8440"
"1813","23413"
"1813","2036"
"1814","2036"
"1837","54212"
"1837","81493"
"1837","54221"
"1838","54221"
"1838","54212"
"1838","3798"
"1839","7704"
"1843","5594"
"1847","5594"
"1855","80319"
"1855","81839"
"1855","23002"
"1855","8312"
"1855","440193"
"1855","29117"
"1856","81839"
"1857","81839"
"1869","4692"
"1870","23429"
"1871","23429"
"1876","23429"
"19","8772"
"1909","10524"
"1915","7178"
"1936","3895"
"1936","2617"
"1936","7178"
"1936","1488"
"1947","23426"
"1947","1947"
"1947","8440"
"1947","5998"
"1950","4000"
"196","405"
"196","9049"
"196","904"
"196","8648"
"1994","140890"
"2004","8554"
"2004","1487"
"2009","2895"
"2017","22941"
"2017","1501"
"2033","4673"
"2033","133746"
"2033","1875"
"2033","10370"
"2033","9325"
"2035","55835"
"2035","2286"
"2035","4926"
"2035","8666"
"2060","2060"
"2063","7068"
"2064","9463"
"2066","1740"
"2066","1742"
"2066","10413"
"207","117145"
"207","8115"
"207","5586"
"208","26060"
"2099","6801"
"2099","30836"
"2099","10286"
"2099","595"
"2099","6996"
"2099","8202"
"2120","10524"
"2145","8726"
"2146","8726"
"2150","10987"
"2185","9821"
"2185","83394"
"2185","57605"
"2185","50807"
"2185","9600"
"2185","57584"
"2189","2175"
"220988","140890"
"221037","367"
"2260","2888"
"2272","7329"
"2274","27332"
"2274","51455"
"2274","22900"
"2274","6868"
"2274","7704"
"2275","2275"
"22800","5900"
"22809","896"
"2286","2037"
"22941","8874"
"22941","6752"
"22941","23266"
"22941","22859"
"22941","6550"
"23051","11244"
"23051","22882"
"23051","23051"
"2313","2623"
"2316","846"
"2316","80790"
"2316","4090"
"2316","5058"
"2316","634"
"2316","675"
"2316","4867"
"2317","4867"
"2317","54751"
"2317","2317"
"2318","3636"
"2318","5045"
"2318","6416"
"2318","6444"
"2318","4867"
"2318","6445"
"2318","58529"
"2321","545"
"2321","6464"
"2332","23191"
"2332","26747"
"2332","8087"
"2332","57532"
"23369","1617"
"23429","2553"
"23433","57120"
"23433","23265"
"23450","140890"
"23468","9734"
"23468","9759"
"23468","6874"
"2475","10243"
"2475","29979"
"25","55824"
"25","4914"
"25","23385"
"25","472"
"2516","8204"
"2516","55809"
"2516","6662"
"2516","8554"
"2521","3609"
"2534","2049"
"2534","9743"
"2547","8900"
"2547","7014"
"2547","23468"
"2547","5452"
"2547","1191"
"2547","7520"
"2566","51304"
"2566","2566"
"2566","11337"
"25942","26959"
"25942","7050"
"25942","57649"
"26034","9266"
"260425","7039"
"26059","8500"
"26059","26059"
"26088","26088"
"26225","23468"
"2624","8841"
"26576","140890"
"2671","10987"
"2671","2671"
"2671","149428"
"2672","10401"
"26986","140890"
"27","8470"
"27","2048"
"27018","7531"
"27316","140890"
"27316","6434"
"274","7161"
"2770","6801"
"2770","10636"
"2770","8601"
"2770","1901"
"2773","4924"
"2773","1901"
"2773","10287"
"2803","400"
"2810","4486"
"286827","2099"
"2876","25"
"2885","4233"
"2885","7409"
"2885","1027"
"2885","1436"
"2885","5621"
"2885","7010"
"2885","2885"
"2890","2037"
"2890","2036"
"2896","904"
"28964","27445"
"28964","9815"
"28964","28964"
"28964","8497"
"28964","8500"
"2897","6386"
"2897","9463"
"2898","9463"
"28996","7329"
"2903","1739"
"2903","10207"
"2903","1742"
"2904","1742"
"2904","10207"
"2905","9229"
"2905","1742"
"2905","10207"
"2906","10207"
"2906","1742"
"291","4792"
"291","367"
"29109","29109"
"2913","6386"
"2935","1029"
"2969","7709"
"2969","9063"
"29763","8038"
"29763","59341"
"29893","367"
"29924","7704"
"29950","1387"
"29993","59341"
"30011","6457"
"30011","92799"
"30011","201176"
"3054","54985"
"3054","2553"
"3054","5134"
"3064","55660"
"3064","6457"
"3064","28964"
"3064","3092"
"3064","29993"
"3064","29072"
"3064","23390"
"3064","6667"
"3064","9001"
"3065","10628"
"3065","11331"
"3065","8726"
"3066","8726"
"3092","3092"
"3159","28996"
"3164","596"
"3172","5629"
"3172","10499"
"3178","2237"
"3178","140890"
"3181","140890"
"3183","140890"
"3184","140890"
"3187","140890"
"3190","140890"
"3190","5094"
"3192","140890"
"321","63941"
"321","9746"
"321","6812"
"3224","4086"
"324","22919"
"324","8313"
"324","6477"
"324","50649"
"3265","54922"
"3265","5910"
"3265","7161"
"3276","3609"
"3297","85021"
"3298","5518"
"3301","9232"
"331","55437"
"331","331"
"331","54739"
"331","9500"
"332","3619"
"332","9212"
"3320","208"
"3320","2768"
"3320","4846"
"3320","10598"
"333","1600"
"3358","8777"
"3399","6925"
"3480","10399"
"3480","8503"
"3480","2887"
"3480","10755"
"3486","7018"
"3486","8038"
"3486","6256"
"3488","2274"
"351","9479"
"351","26119"
"351","6464"
"351","322"
"3516","23013"
"355","10116"
"355","8772"
"355","10016"
"355","355"
"355","5783"
"355","1616"
"355","288"
"3568","9094"
"3568","6386"
"3581","7534"
"3597","1742"
"3603","4660"
"3603","3603"
"3603","54776"
"3608","140890"
"3611","3987"
"3611","64098"
"3611","55742"
"3611","29780"
"3643","4085"
"3643","10818"
"3643","4087"
"3643","2886"
"3643","2888"
"3643","2887"
"3667","55023"
"3667","5599"
"3667","3643"
"367","11143"
"367","367"
"367","5901"
"367","56924"
"367","983"
"367","10499"
"367","55629"
"367","166"
"367","10114"
"367","2580"
"367","2274"
"367","7182"
"367","6047"
"367","9063"
"367","2119"
"367","10524"
"367","1644"
"367","9604"
"367","8431"
"367","10513"
"3676","8726"
"3679","2275"
"3683","10048"
"3683","5788"
"3688","7529"
"3688","10399"
"3689","9266"
"3691","3692"
"3691","10971"
"3693","10399"
"3695","10399"
"3695","8726"
"3708","2036"
"3717","8651"
"3725","367"
"373","9266"
"373","373"
"3739","1742"
"375","26088"
"375","23163"
"375","9179"
"375","27236"
"3757","7531"
"3761","64130"
"3766","10207"
"3766","1742"
"3772","10207"
"378","9727"
"3815","2887"
"3832","983"
"3832","1639"
"3838","11200"
"3856","5310"
"387","3895"
"3875","84260"
"3875","10049"
"3875","5310"
"392","663"
"3925","1027"
"3930","3930"
"3930","11335"
"3930","23468"
"3973","10755"
"3987","8440"
"40","9463"
"4000","6720"
"4000","26502"
"4000","2353"
"4000","242"
"4000","8187"
"4005","84707"
"4005","5927"
"4005","6886"
"4005","2623"
"4005","8861"
"4035","9479"
"4035","55333"
"4035","9270"
"4035","1600"
"4035","9722"
"4035","23542"
"4035","10755"
"4036","57763"
"4036","26119"
"4036","1742"
"4036","10755"
"4036","322"
"4036","1601"
"405","2034"
"405","6492"
"405","57491"
"4067","23645"
"4068","8832"
"4068","6504"
"408","5745"
"408","5900"
"408","4905"
"4087","9372"
"4087","9839"
"4087","8928"
"4087","79753"
"4087","1387"
"4087","64750"
"4088","2353"
"4088","9372"
"4088","51588"
"4088","4739"
"4089","10987"
"4089","4088"
"4089","7329"
"4089","4087"
"4089","55802"
"409","162"
"4092","64750"
"4092","51588"
"4092","10413"
"41","9463"
"4130","1742"
"4130","9826"
"4131","56001"
"4131","10482"
"4131","9826"
"4131","8125"
"4131","11186"
"4170","7178"
"4171","11143"
"4171","10270"
"4171","4175"
"4171","55388"
"4171","4999"
"4172","8888"
"4172","4174"
"4172","55388"
"4173","55388"
"4175","55388"
"4175","4173"
"4175","81620"
"4175","4175"
"4176","1027"
"4176","4173"
"4176","4172"
"4176","5925"
"4188","7220"
"4193","1029"
"4193","6135"
"4193","8557"
"4193","4194"
"4193","6872"
"4205","5598"
"4216","10912"
"4216","4616"
"4216","1647"
"4217","1616"
"4217","5536"
"4217","4217"
"4233","867"
"4233","10048"
"4233","200958"
"4233","3636"
