"Source","Target"
10345,6261
5777,971
1432,2002
5468,6256
1870,5925
2264,6774
2908,7533
3667,2885
2264,6772
7535,7535
5788,3932
5747,5829
3265,5894
1025,4683
5783,355
6464,1956
8569,1977
6714,1600
1017,5925
695,6776
6195,4792
5781,3667
6885,3551
5580,2931
4170,572
5829,7414
207,5728
1501,5663
5792,3667
8536,10014
5591,6118
9759,4208
5111,5983
4739,9564
5111,5981
5599,596
9456,2890
2241,2017
9456,2897
1030,1019
4194,7157
836,331
3055,6774
5601,1386
995,983
6197,3150
5792,3643
5595,3925
5599,7157
1742,1742
5879,396
6714,5894
5295,2885
7157,4193
5777,933
84254,814
2185,6622
1457,5664
4609,2932
5371,5371
3932,921
5582,6812
1432,1386
3635,6464
3984,1072
5594,7157
3984,1073
11184,2885
1956,2064
28996,7157
545,7157
2033,2033
6654,2885
3717,3717
8651,3717
130872,3320
207,2931
4689,4688
367,367
2280,6261
2260,2260
5782,5747
3702,940
5566,4842
5770,3643
55,2064
3551,8202
5592,1385
999,5797
6197,1385
5928,3065
6257,8204
840,331
3091,2033
3815,3717
815,6722
7454,2534
5797,5797
1017,7157
573,2908
207,367
1387,4654
4149,4149
4087,6498
472,11200
10014,8841
10204,5901
348,4137
545,11200
6850,6850
9212,332
6667,5451
2260,10818
4486,6714
5599,3667
2280,2280
3717,25970
6195,29904
1500,999
56034,5156
8737,8517
2241,801
2534,2533
7465,983
5058,3984
1459,801
5970,2908
6093,3984
2549,2885
6929,6929
6502,6500
6464,2885
5553,207
2887,3480
5581,3875
3932,6772
1616,355
5578,1103
8202,1387
7134,7139
4792,1147
5594,3856
1436,1436
8772,355
5905,5903
5905,5901
10477,4792
2059,2059
1740,2904
7186,329
57144,572
5905,7341
4067,6521
5295,998
9088,983
695,2969
867,867
7341,6672
4067,695
3065,3065
8841,6907
6850,695
5594,6774
27429,331
5605,5595
5599,3856
10657,6714
4739,4088
578,598
5595,5604
867,5295
5580,2781
7329,7341
1387,5371
2908,2908
1509,351
3055,7454
1956,6772
5595,6774
5612,1965
7486,2237
2261,6774
27,1398
5578,3150
8637,1977
2261,6772
5578,7157
4734,6340
4050,4049
4089,6497
1399,2889
5801,5595
5578,4000
2321,5335
5801,5594
4585,2064
6464,5782
4734,6337
6714,4792
4734,6338
7341,1616
5468,5468
9759,9759
836,7431
6616,6804
2902,88
7534,7534
1398,6464
6047,367
4170,578
9261,6722
26469,9051
8850,1387
4739,1399
4739,1398
25825,351
1025,10614
5300,995
5300,996
1399,867
8841,9611
8841,9612
7046,4086
6777,2908
5563,29904
7046,4087
5578,7137
638,596
638,598
4609,4149
9451,1965
9261,7054
815,4137
1025,10217
5610,4792
841,8837
4690,6654
3551,3667
5663,4851
10657,5295
3691,5578
27240,5781
663,392
6804,6529
7248,7249
1021,896
8805,2099
1051,1649
6655,2885
10018,598
5579,6812
8976,998
5590,5578
2185,2185
10018,596
7157,5371
1459,1978
8031,367
10345,3270
1025,5925
580,672
472,1978
4683,4361
6850,6521
3643,5777
2534,6622
2065,3084
5595,2697
9252,1385
331,331
6714,5786
29110,4792
8841,7181
8717,8772
2475,1978
7159,7157
7520,7486
5578,4082
2534,867
1398,9564
4194,4193
7006,695
9564,5782
3065,5925
63967,1111
6464,2324
2932,351
6195,572
25,3717
1457,1933
10420,1072
25942,5928
2534,5336
2903,2902
8648,2908
5580,4137
5347,11200
9564,5792
1459,1933
7791,7408
7314,1027
5578,6010
1019,5925
867,10603
842,836
10818,2885
8867,2885
6773,3454
4582,1499
5595,5778
5592,7408
5608,1432
8517,3551
839,7431
840,5664
472,7157
8500,5792
9063,367
5782,9051
5777,5777
5770,6714
5979,6774
2887,3643
1460,1457
5594,4155
1025,905
2033,7157
1025,904
5906,5894
1460,1460
9261,3315
6502,1163
5562,29904
3932,7535
8648,1387
1956,1950
5777,6714
3320,2908
27102,1965
1956,1956
1111,995
1029,4193
6197,2099
637,596
3320,3320
5058,5058
22919,324
23678,2931
1017,4605
5598,4205
9978,6500
3265,5921
5058,5879
672,672
8928,4087
5598,2697
324,3728
5914,6256
6195,2099
8792,7185
8792,7186
818,2890
4739,5747
8792,7187
8792,7189
2932,8312
4084,4149
5578,2904
2534,2904
7443,7157
6880,7157
2475,2475
4086,10273
9229,1742
3728,1829
3728,1828
5894,5894
842,7431
5582,2904
4067,930
9564,5770
1432,995
3635,2885
8837,843
7161,4193
1020,4137
7535,3937
1453,5664
7186,7133
1387,3725
5595,5595
836,1026
10657,4690
6197,4137
4067,983
5781,5159
1499,5663
10345,845
842,331
3717,6776
3717,6774
3002,842
6772,2033
3717,6772
9372,4088
91768,1020
6714,6464
3838,3838
29108,4210
663,998
7185,7186
7169,7169
8655,4842
573,3303
5879,4688
6885,6885
5914,8204
3586,3586
1616,5371
332,840
3932,6464
5582,2931
5566,3150
8569,5321
1457,801
7431,7431
3718,3560
4486,2885
4067,6850
7416,598
6872,2962
3587,3586
207,4303
7341,7150
5058,5894
6464,867
1020,7157
8841,8841
1432,3856
3725,2353
4088,4089
8615,2804
25942,3066
10233,940
6093,2670
5590,10000
815,8831
5566,2115
6195,6722
6714,5335
80824,1432
7048,7048
842,317
1499,1495
5578,2931
2268,6622
5594,1978
3643,8660
5610,5610
23162,5601
4654,4654
5580,6772
2889,1398
5580,6774
5170,6198
6850,867
8536,4842
367,836
208,2099
7294,3937
6125,1460
5452,2908
5111,5424
6119,6118
3737,2115
1445,6714
472,672
4233,2885
3985,1072
1499,1001
8805,6256
4691,7150
1033,1017
3643,3667
9134,1027
5347,995
1978,1977
7450,7450
2932,4137
840,7431
3480,1398
5566,2670
1439,1439
5595,3856
5777,3932
3932,5336
3702,695
3315,26353
5566,775
6774,6774
29108,834
2590,4582
1495,1001
3717,5894
3643,6464
7534,2811
7534,2812
995,891
1436,2885
8986,1385
5782,7454
2902,116443
634,3643
3716,3587
5156,5159
472,3014
5156,5156
2185,2534
1398,6777
2932,8893
10006,2059
1742,4842
1263,7157
3937,7409
8476,3984
4193,5371
5562,5894
5293,3265
5111,1647
2033,5970
7016,1072
2885,867
4140,995
2324,2885
5170,208
5170,207
11140,3320
3716,3560
4090,90
841,8737
5241,8648
317,598
1956,2885
5553,5069
5594,3932
5747,5747
3717,4352
1460,9616
8837,5664
7006,1796
5594,596
1956,867
3643,3643
1739,2903
8503,3667
5594,2697
6714,2903
6714,2904
5451,2908
2902,2904
6850,2212
1965,5610
2902,2902
2065,2064
3551,4790
25,695
816,816
3932,4792
3768,1739
3716,6772
11200,11200
3716,6774
1432,4208
1432,4205
2904,816
2904,815
356,2885
5747,9564
1398,5747
11200,995
3611,207
5170,5585
7157,7157
8554,7157
3932,3932
472,472
3725,1386
5777,140885
4067,3059
7133,4049
5170,5580
5579,2904
5170,5581
3055,613
5781,3572
7068,9611
3609,5610
2902,1742
6621,5451
5781,2885
2931,8893
6195,1385
940,2885
1460,7157
1742,3736
1742,3737
841,637
29109,5879
1742,3739
4067,6622
896,1019
1457,1978
6714,1956
5594,6195
6196,572
6340,6804
7329,6613
1263,995
11221,1432
9627,6622
5566,29904
3717,2057
2208,2534
7520,2547
6011,6010
10714,5111
93649,6722
4088,7030
596,5566
7531,5894
8517,1147
6196,1385
7043,7046
5747,5781
2533,3937
6271,6271
815,2903
7043,7048
6789,836
9456,6261
10657,2885
994,983
472,4683
3875,836
6198,29904
6714,5747
8850,4654
1742,2904
5579,2931
5599,3725
5599,3726
1742,2903
2969,6722
5594,5604
867,3932
4193,409
2534,6464
5295,3667
5781,3716
5781,3717
9475,4659
8841,9734
6812,6804
4139,4137
208,207
5932,672
2902,801
3055,867
4914,6464
6275,6271
5925,1869
7137,7134
9839,4086
7137,7139
9839,4087
5566,7408
4654,6929
6850,6452
8850,7157
2932,7157
2932,1499
9794,4851
6275,6275
5771,3643
8550,5321
5170,5590
1263,11200
9693,5906
3611,4659
834,5664
1017,1027
322,351
5829,5782
23162,5599
5829,5781
9839,4088
4846,3320
3055,5335
55,55
3055,5336
28964,5829
6850,6464
25,10006
5566,2931
23193,5788
5781,6776
3937,5777
5111,1026
4067,4067
29760,5777
695,7454
3837,3838
8554,6772
1460,8615
5781,1956
983,3925
4331,2099
916,5295
7186,8717
5781,9846
27343,5111
5036,2065
1457,7153
572,596
2268,6714
5585,4137
5563,32
3643,6777
5578,2891
572,598
5058,998
2237,5111
5782,2185
3837,5901
5590,3551
8826,998
815,4842
7186,943
5562,31
5159,5159
1956,1398
8826,5879
4089,4089
8772,841
5578,6812
6850,6622
2917,801
6195,2115
595,1019
6880,6878
1956,5335
6300,4137
4437,5111
8900,1026
839,5664
148170,998
8867,6456
369,5604
6464,7535
815,2670
1457,7157
54602,4734
7332,867
6502,1027
5566,5140
1956,5587
1981,1977
8312,1855
1956,7410
760,6521
581,596
581,598
7187,958
2002,5594
836,5664
1432,5778
23683,2931
695,114609
5058,4690
3480,3667
4851,4851
3728,1495
5587,10014
5879,5295
7157,3146
959,958
1870,6667
7454,2268
695,695
51741,7157
3066,5928
673,5604
5566,5894
3717,2969
1027,595
55662,3091
5580,1965
8717,7132
8874,5058
3643,5295
818,6772
5591,2547
5578,4842
5579,4082
2811,7450
2690,3717
919,2534
6804,6804
5777,1439
998,7454
8976,7456
64750,4086
90,4086
5595,8030
7297,3454
7341,5371
116443,116443
3065,6667
2888,3643
5604,5604
5781,9019
596,596
5170,5170
7534,7249
4739,4739
8536,6853
5747,5295
1399,6777
2214,3932
5829,3676
5594,5594
56998,1499
5566,572
5553,5590
5788,2534
998,84612
8771,356
2956,5111
999,3728
324,1499
3091,7428
3055,2889
6872,5925
6195,6195
1742,2898
1020,351
5578,6385
5581,5581
5599,6774
1387,4087
2064,2064
10111,4683
6714,6774
1979,1977
1760,4659
55742,3611
5594,5778
5594,2353
1111,7157
4087,4089
11124,1460
25,5777
3725,3725
10204,23636
5777,4067
6714,2969
3028,351
5610,7157
10017,317
5594,1843
7529,5894
595,1026
7297,6772
5786,2885
3055,3055
25,1398
841,5664
5578,2670
4851,3516
5602,23162
814,4842
6093,4659
6722,1051
843,841
1956,5770
834,834
998,23263
472,7486
4067,5336
4067,5335
3667,1398
5979,5979
22839,8831
146722,5777
5591,7157
5781,2549
6850,5336
6850,5335
3551,1147
7520,5591
6895,5610
7157,6275
1937,1936
5894,5604
7534,5894
5894,5605
1937,1933
5260,4137
5063,5894
3066,3065
2066,3084
