"Source","Target"
5580,6772
2889,1398
25,10006
5566,2931
5580,6774
5170,6198
6850,867
2264,6774
2264,6772
8536,4842
5788,3932
208,2099
695,7454
3265,5894
6125,1460
1017,5925
6195,4792
3737,2115
6885,3551
4233,2885
3985,1072
1499,1001
5580,2931
1033,1017
5347,995
1978,1977
2932,4137
3480,1398
5566,2670
2268,6714
5585,4137
5563,32
3643,6777
5578,2891
572,598
5595,3856
5590,3551
5777,3932
8826,998
815,4842
6850,6521
1956,1398
8826,5879
4194,7157
3702,695
3643,5777
3055,6774
6195,2115
5601,1386
995,983
2590,4582
3717,5894
1956,5335
6300,4137
5595,2697
9252,1385
3643,6464
6714,5786
369,5604
815,2670
5295,2885
8986,1385
2475,1978
1457,7157
634,3643
2534,867
5578,4082
4194,4193
7006,695
9564,5782
3065,5925
2932,8893
1956,7410
581,598
6195,572
10006,2059
1432,1386
1263,7157
23683,2931
3635,6464
3984,1072
3480,3667
1457,1933
4193,5371
2033,5970
2534,5336
1956,2064
545,7157
2903,2902
5580,4137
5347,11200
2033,2033
695,695
6654,2885
7016,1072
2885,867
4140,995
2324,2885
1459,1933
5170,207
3066,5928
3717,3717
673,5604
5566,5894
5578,6010
867,10603
10818,2885
1019,5925
3717,2969
5241,8648
5580,1965
4582,1499
5608,1432
1956,2885
8517,3551
5566,4842
5770,3643
5747,5747
3717,4352
3643,5295
5592,1385
818,6772
5578,4842
472,7157
6197,1385
5928,3065
1956,867
5777,5777
5770,6714
3643,3643
919,2534
2887,3643
2033,7157
998,7454
5906,5894
7454,2534
5594,2697
1460,1460
1017,7157
7341,5371
5562,29904
6714,2903
3932,7535
1387,4654
1965,5610
8648,1387
472,11200
4739,4739
1956,1950
25,695
545,11200
2214,3932
6850,6850
11200,11200
3716,6772
3716,6774
1432,4208
5599,3667
2904,816
2904,815
1398,5747
5747,9564
11200,995
1111,995
5594,5594
1956,1956
6195,29904
3611,207
6197,2099
5566,572
7465,983
5058,5058
23678,2931
5553,5590
6093,3984
7157,7157
5788,2534
8554,7157
472,472
3932,3932
5553,207
6464,2885
5777,140885
3932,6772
3055,613
3265,5921
4792,1147
3609,5610
5058,5879
2902,1742
5598,2697
6195,1385
1460,7157
6195,2099
2059,2059
1742,3739
57144,572
1742,2898
5905,7341
5594,6195
7443,7157
6196,572
4067,6521
5894,5894
9088,983
695,2969
1263,995
5599,6774
4067,695
5566,29904
2064,2064
6850,695
5594,6774
1432,995
6011,6010
1979,1977
6714,6774
8517,1147
1760,4659
1020,4137
6196,1385
5747,5781
1111,7157
5595,5595
1387,5371
25,5777
6197,4137
3055,7454
1956,6772
10657,2885
5595,6774
4067,983
5612,1965
994,983
1499,5663
5777,4067
472,4683
6714,2969
6198,29904
2261,6774
6714,5747
5579,2931
1742,2904
3717,6776
1742,2903
3717,6774
27,1398
5594,5604
7297,6772
3717,6772
2261,6772
6714,6464
2534,6464
5295,3667
25,1398
9475,4659
5879,4688
1616,5371
3932,6464
5578,2670
4139,4137
5582,2931
208,207
2321,5335
814,4842
6464,5782
1457,801
6093,4659
2902,801
3055,867
4914,6464
4067,6850
6275,6271
5925,1869
7137,7134
1956,5770
207,4303
5058,5894
4067,5335
4739,1399
8850,1387
2932,1499
5591,7157
5781,2549
1263,11200
5170,5590
6093,2670
1399,867
6850,5335
815,8831
5566,2115
5563,29904
3611,4659
3551,1147
6714,5335
5578,7137
7157,6275
9451,1965
815,4137
5894,5604
5829,5782
5578,2931
5594,1978
5260,4137
5610,4792
4690,6654
5063,5894
3055,5335
23162,5601
5610,5610
6850,6464
