"Source","Target"
5580,6772
25,10006
5580,6774
25,695
2264,6774
2264,6772
6850,6850
5788,3932
3716,6772
3716,6774
695,7454
3265,5894
2904,815
5747,9564
5594,5594
1956,1956
5058,5058
4233,2885
3932,3932
6464,2885
1978,1977
3932,6772
2932,4137
3480,1398
2902,1742
5585,4137
6195,1385
572,598
6195,2099
2059,2059
1742,3739
5777,3932
8826,998
57144,572
5594,6195
1956,1398
3702,695
6196,572
3055,6774
5894,5894
695,2969
5599,6774
4067,695
1956,5335
5594,6774
6300,4137
6714,5786
3643,6464
6714,6774
1020,4137
6196,1385
8986,1385
2475,1978
25,5777
6197,4137
3055,7454
1956,6772
10657,2885
5595,6774
2534,867
5777,4067
6714,2969
7006,695
6714,5747
2261,6774
1742,2904
9564,5782
1742,2903
3717,6774
5594,5604
27,1398
7297,6772
3717,6772
6195,572
10006,2059
2261,6772
2534,6464
5295,3667
3635,6464
3480,3667
25,1398
3932,6464
2903,2902
5580,4137
4139,4137
695,695
6654,2885
6464,5782
2885,867
3717,3717
2902,801
5566,5894
3055,867
3717,2969
1956,5770
5058,5894
1956,2885
4067,5335
5747,5747
818,6772
6850,5335
6197,1385
815,8831
1956,867
5777,5777
6714,5335
919,2534
815,4137
5894,5604
998,7454
5594,1978
5260,4137
3055,5335
6714,2903
