"Source","Target"
5580,6772
5580,6774
25,5777
6197,4137
1956,6772
5595,6774
2534,867
2264,6774
5777,4067
2264,6772
5788,3932
3716,6772
6714,5747
2261,6774
3716,6774
3265,5894
2904,815
3717,6774
5594,5604
3717,6772
7297,6772
1956,1956
5594,5594
2261,6772
2534,6464
25,1398
6464,2885
3932,6464
5580,4137
4139,4137
3932,6772
2932,4137
2885,867
3717,3717
3480,1398
5585,4137
1956,5770
1956,2885
5777,3932
4067,5335
5747,5747
818,6772
3055,6774
1956,867
5777,5777
5599,6774
1956,5335
6300,4137
5594,6774
815,4137
5894,5604
6714,5786
3643,6464
6714,6774
5260,4137
1020,4137
3055,5335
